locus_tag	ftype	length_bp	gene	EC_number	COG	product
BAMDCOFK_01562	CDS	495	slyA			Transcriptional regulator SlyA
BAMDCOFK_01563	CDS	1032	mak	2.7.1.4	COG1940	Fructokinase
BAMDCOFK_01564	CDS	1128				hypothetical protein
BAMDCOFK_01565	CDS	1095				hypothetical protein
BAMDCOFK_01566	CDS	645	pyrE	2.4.2.10		Orotate phosphoribosyltransferase
BAMDCOFK_01567	CDS	1161	pyrD	1.3.-.-		Dihydroorotate dehydrogenase
BAMDCOFK_01568	CDS	990	atzC	3.5.4.42		N-isopropylammelide isopropyl amidohydrolase
BAMDCOFK_01569	CDS	1311	argG	6.3.4.5		Argininosuccinate synthase
BAMDCOFK_01570	CDS	1284				hypothetical protein
BAMDCOFK_01571	CDS	1188				hypothetical protein
BAMDCOFK_01572	CDS	2199	glnA	6.3.1.2		Glutamine synthetase
BAMDCOFK_01573	CDS	744				hypothetical protein
BAMDCOFK_01574	CDS	1425				hypothetical protein
BAMDCOFK_01575	CDS	789	speD	4.1.1.50	COG1586	S-adenosylmethionine decarboxylase proenzyme
BAMDCOFK_01576	CDS	1314	ubiB_1	2.7.-.-		protein kinase UbiB
BAMDCOFK_01577	CDS	423				hypothetical protein
BAMDCOFK_01578	CDS	639	dedA		COG0586	Protein DedA
BAMDCOFK_01579	CDS	1098				hypothetical protein
BAMDCOFK_01580	CDS	660				hypothetical protein
BAMDCOFK_01581	CDS	645				hypothetical protein
BAMDCOFK_01582	CDS	1197				hypothetical protein
BAMDCOFK_01583	CDS	879				hypothetical protein
BAMDCOFK_01584	CDS	2772				hypothetical protein
BAMDCOFK_01585	CDS	387				hypothetical protein
BAMDCOFK_01586	CDS	729				hypothetical protein
BAMDCOFK_01587	CDS	1836				hypothetical protein
BAMDCOFK_01588	CDS	639				hypothetical protein
BAMDCOFK_01589	CDS	786				hypothetical protein
BAMDCOFK_01590	CDS	168				hypothetical protein
BAMDCOFK_01591	CDS	273				hypothetical protein
BAMDCOFK_01592	CDS	429				hypothetical protein
BAMDCOFK_01593	CDS	177				hypothetical protein
BAMDCOFK_01594	CDS	1260	purA	6.3.4.4	COG0104	Adenylosuccinate synthetase
BAMDCOFK_01595	CDS	1269	pfp	2.7.1.90	COG0205	Pyrophosphate--fructose 6-phosphate 1-phosphotransferase
BAMDCOFK_01596	CDS	468	dps2	1.16.-.-	COG0783	DNA protection during starvation protein 2
BAMDCOFK_01597	CDS	192				hypothetical protein
BAMDCOFK_01598	CDS	1341	hisS	6.1.1.21	COG0124	Histidine--tRNA ligase
BAMDCOFK_01599	CDS	783	ispU	2.5.1.31	COG0020	Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)
BAMDCOFK_01600	CDS	1791				hypothetical protein
BAMDCOFK_01601	CDS	669				hypothetical protein
BAMDCOFK_01602	CDS	1287				hypothetical protein
BAMDCOFK_01603	CDS	903				hypothetical protein
BAMDCOFK_01604	CDS	1083	asd2	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase 2
BAMDCOFK_01605	CDS	2205				hypothetical protein
BAMDCOFK_01606	CDS	261				hypothetical protein
BAMDCOFK_01607	CDS	939				hypothetical protein
BAMDCOFK_01608	CDS	630	yceI		COG2353	Protein YceI
BAMDCOFK_01609	CDS	357				hypothetical protein
BAMDCOFK_01610	CDS	354				hypothetical protein
BAMDCOFK_01611	CDS	861				hypothetical protein
BAMDCOFK_01612	CDS	843				hypothetical protein
BAMDCOFK_01613	CDS	1023				Bifunctional NMN adenylyltransferase/Nudix hydrolase
BAMDCOFK_01614	CDS	765	mip	5.2.1.8	COG0545	Outer membrane protein MIP
BAMDCOFK_01615	CDS	801	tpiA	5.3.1.1	COG0149	Triosephosphate isomerase
BAMDCOFK_01616	CDS	1209	pgk	2.7.2.3	COG0126	Phosphoglycerate kinase
BAMDCOFK_01617	CDS	1107	rfbM	2.7.7.13	COG0662	Mannose-1-phosphate guanylyltransferase RfbM
BAMDCOFK_01618	CDS	1044	hemE	4.1.1.37		Uroporphyrinogen decarboxylase
BAMDCOFK_01619	CDS	1815	pepF1	3.4.24.-		Oligoendopeptidase F, plasmid
BAMDCOFK_01620	CDS	864	punA	2.4.2.1	COG0005	Purine nucleoside phosphorylase 1
BAMDCOFK_01621	CDS	549	hpt	2.4.2.8	COG0634	Hypoxanthine phosphoribosyltransferase
BAMDCOFK_01622	CDS	210				hypothetical protein
BAMDCOFK_01623	CDS	765				hypothetical protein
BAMDCOFK_01624	CDS	2709				hypothetical protein
BAMDCOFK_01625	CDS	612	ruvC	3.1.22.4		Crossover junction endodeoxyribonuclease RuvC
BAMDCOFK_01626	CDS	189				hypothetical protein
BAMDCOFK_01627	CDS	1122	mrdB	2.4.1.129		Peptidoglycan glycosyltransferase MrdB
BAMDCOFK_01628	CDS	2010	mrdA_2	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase MrdA
BAMDCOFK_01629	CDS	549				hypothetical protein
BAMDCOFK_01630	CDS	900				hypothetical protein
BAMDCOFK_01631	CDS	1545	prsA	5.2.1.8		Foldase protein PrsA
BAMDCOFK_01632	CDS	990	nadK	2.7.1.23		NAD kinase
BAMDCOFK_01633	CDS	492	nqo6	7.1.1.-	COG0377	NADH-quinone oxidoreductase subunit 6
BAMDCOFK_01634	CDS	744	srrA		COG0745	Transcriptional regulatory protein SrrA
BAMDCOFK_01635	CDS	1413				hypothetical protein
BAMDCOFK_01636	CDS	543				hypothetical protein
BAMDCOFK_01637	CDS	195				hypothetical protein
BAMDCOFK_01638	CDS	1011	pldB	3.1.1.5	COG2267	Lysophospholipase L2
BAMDCOFK_01639	rRNA	77				5S ribosomal RNA (partial)
BAMDCOFK_01640	CDS	1212	aspC_2	2.6.1.1	COG0436	Aspartate aminotransferase
BAMDCOFK_01641	CDS	975	hag_6		COG1344	Flagellin
BAMDCOFK_01642	CDS	1263				hypothetical protein
BAMDCOFK_01643	CDS	1722				hypothetical protein
BAMDCOFK_01644	CDS	2010				hypothetical protein
BAMDCOFK_01645	CDS	117				hypothetical protein
BAMDCOFK_01646	CDS	1380	pyk	2.7.1.40		Pyruvate kinase
BAMDCOFK_01647	CDS	1044	trpS	6.1.1.2	COG0180	Tryptophan--tRNA ligase
BAMDCOFK_01648	CDS	342	ihfA_1		COG0776	Integration host factor subunit alpha
BAMDCOFK_01649	CDS	336	ihfA_2			Integration host factor subunit alpha
BAMDCOFK_01650	CDS	1701	panP	4.1.1.11	COG0076	Aspartate 1-decarboxylase
BAMDCOFK_01651	CDS	2502	lon1	3.4.21.53	COG0466	Lon protease 1
BAMDCOFK_01652	CDS	1107	rcsC_2	2.7.13.3		Sensor histidine kinase RcsC
BAMDCOFK_01653	CDS	2211				hypothetical protein
BAMDCOFK_01654	CDS	168				hypothetical protein
BAMDCOFK_01655	CDS	987				hypothetical protein
BAMDCOFK_01656	CDS	1017	cpoB_2			Cell division coordinator CpoB
BAMDCOFK_01657	CDS	294				hypothetical protein
BAMDCOFK_01658	CDS	1569	pepA_2	3.4.11.10		cytosol aminopeptidase
BAMDCOFK_01659	CDS	1305				hypothetical protein
BAMDCOFK_01660	CDS	756	ssuC		COG0600	Putative aliphatic sulfonates transport permease protein SsuC
BAMDCOFK_01661	CDS	741	tauB	7.6.2.7	COG4525	Taurine import ATP-binding protein TauB
BAMDCOFK_01662	CDS	414				hypothetical protein
BAMDCOFK_01663	CDS	1167				IS200/IS605 family transposase ISPa83
BAMDCOFK_01664	CDS	735				hypothetical protein
BAMDCOFK_01665	CDS	261				hypothetical protein
BAMDCOFK_01666	CDS	3345	cas9	3.1.-.-		CRISPR-associated endonuclease Cas9
	repeat_region	565				
BAMDCOFK_01667	CDS	342	cas2	3.1.-.-		CRISPR-associated endoribonuclease Cas2
BAMDCOFK_01668	CDS	894	cas1_1	3.1.-.-		CRISPR-associated endonuclease Cas1
BAMDCOFK_01669	CDS	369				hypothetical protein
BAMDCOFK_01670	CDS	2478	secA		COG0653	Protein translocase subunit SecA
BAMDCOFK_01671	CDS	2184				hypothetical protein
BAMDCOFK_01672	CDS	975				hypothetical protein
BAMDCOFK_01673	CDS	1578	comM		COG0606	Competence protein ComM
BAMDCOFK_01674	CDS	366	phoB		COG0745	Phosphate regulon transcriptional regulatory protein PhoB
BAMDCOFK_01675	CDS	303	glpE_1	2.8.1.1		Thiosulfate sulfurtransferase GlpE
BAMDCOFK_01676	CDS	1674	ubiB_2	2.7.-.-	COG0661	putative protein kinase UbiB
BAMDCOFK_01677	CDS	396				hypothetical protein
BAMDCOFK_01678	CDS	393				hypothetical protein
BAMDCOFK_01679	CDS	435				hypothetical protein
BAMDCOFK_01680	CDS	825				hypothetical protein
BAMDCOFK_01681	CDS	1332				hypothetical protein
BAMDCOFK_01682	CDS	759	deoC1	4.1.2.4		Deoxyribose-phosphate aldolase 1
BAMDCOFK_01683	CDS	1863				hypothetical protein
BAMDCOFK_01684	CDS	327				hypothetical protein
BAMDCOFK_01685	CDS	351				hypothetical protein
BAMDCOFK_01686	CDS	882				hypothetical protein
BAMDCOFK_01687	CDS	1377	flgE		COG1749	Flagellar hook protein FlgE
BAMDCOFK_01688	CDS	1350				hypothetical protein
BAMDCOFK_01689	CDS	2169				hypothetical protein
BAMDCOFK_01690	CDS	414	rpsL		COG0048	30S ribosomal protein S12
BAMDCOFK_01691	CDS	474	rpsG		COG0049	30S ribosomal protein S7
BAMDCOFK_01692	CDS	1230	brnQ		COG1114	Branched-chain amino acid transport system 2 carrier protein
BAMDCOFK_01693	CDS	840			COG0596	putative protein
BAMDCOFK_01694	CDS	624				hypothetical protein
BAMDCOFK_01695	CDS	216				hypothetical protein
BAMDCOFK_01696	CDS	1203	dusC	1.3.1.-		tRNA-dihydrouridine(16) synthase
BAMDCOFK_01697	CDS	291				hypothetical protein
BAMDCOFK_01698	CDS	735			COG0451	putative protein
BAMDCOFK_01699	CDS	1134			COG0204	putative protein
BAMDCOFK_01700	CDS	852	parA			Chromosome partitioning protein ParA
BAMDCOFK_01701	CDS	702				hypothetical protein
BAMDCOFK_01702	CDS	1410	rlmCD_2	2.1.1.189	COG2265	23S rRNA (uracil-C(5))-methyltransferase RlmCD
BAMDCOFK_01703	CDS	972				hypothetical protein
BAMDCOFK_01704	CDS	789				hypothetical protein
BAMDCOFK_01705	CDS	846	hag_7		COG1344	Flagellin
BAMDCOFK_01706	CDS	684				hypothetical protein
BAMDCOFK_01707	CDS	420				hypothetical protein
BAMDCOFK_01708	CDS	468				hypothetical protein
BAMDCOFK_01709	CDS	933				hypothetical protein
BAMDCOFK_01710	CDS	894	murI	5.1.1.3		Glutamate racemase
BAMDCOFK_01711	CDS	864				hypothetical protein
BAMDCOFK_01712	CDS	753				hypothetical protein
BAMDCOFK_01713	CDS	555				hypothetical protein
BAMDCOFK_01714	CDS	1362	fliD		COG1345	Flagellar hook-associated protein 2
BAMDCOFK_01715	CDS	1182	mshA_3	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
BAMDCOFK_01716	CDS	1140	wecE	2.6.1.59	COG0399	dTDP-4-amino-4,6-dideoxygalactose transaminase
BAMDCOFK_01717	CDS	1059				hypothetical protein
BAMDCOFK_01718	CDS	894				hypothetical protein
BAMDCOFK_01719	CDS	810				hypothetical protein
BAMDCOFK_01720	CDS	2700				hypothetical protein
BAMDCOFK_01721	CDS	654	upp	2.4.2.9		Uracil phosphoribosyltransferase
BAMDCOFK_01722	CDS	618	udk_1	2.7.1.48	COG0572	Uridine kinase
BAMDCOFK_01723	CDS	1059				hypothetical protein
BAMDCOFK_01724	CDS	1497				hypothetical protein
BAMDCOFK_01725	CDS	774	mkl		COG1127	putative ribonucleotide transport ATP-binding protein mkl
BAMDCOFK_01726	CDS	783	mlaE		COG0767	Intermembrane phospholipid transport system permease protein MlaE
BAMDCOFK_01727	CDS	1104				hypothetical protein
BAMDCOFK_01728	CDS	972				hypothetical protein
BAMDCOFK_01729	CDS	234	tatA			Sec-independent protein translocase protein TatA
BAMDCOFK_01730	CDS	2085		1.18.-.-	COG0247	EtfAB:quinone oxidoreductase
BAMDCOFK_01731	CDS	1086	hldD	5.1.3.20		ADP-L-glycero-D-manno-heptose-6-epimerase
BAMDCOFK_01732	CDS	1458	trmFO	2.1.1.74	COG1206	Methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase TrmFO
BAMDCOFK_01733	CDS	1239				hypothetical protein
BAMDCOFK_01734	CDS	1518				hypothetical protein
BAMDCOFK_01735	CDS	171				hypothetical protein
BAMDCOFK_01736	CDS	384				hypothetical protein
BAMDCOFK_01737	CDS	1218				hypothetical protein
BAMDCOFK_01738	CDS	294			COG4095	Sugar transporter SemiSWEET
BAMDCOFK_01739	CDS	1995	recD2_1	3.6.4.12	COG0507	ATP-dependent RecD-like DNA helicase
BAMDCOFK_01740	CDS	342	recD2_2	3.6.4.12		ATP-dependent RecD-like DNA helicase
BAMDCOFK_01741	tRNA	75				tRNA-Pro(tgg)
BAMDCOFK_01742	CDS	420				hypothetical protein
BAMDCOFK_01743	CDS	1368				hypothetical protein
BAMDCOFK_01744	CDS	447	rplI		COG0359	50S ribosomal protein L9
BAMDCOFK_01745	CDS	825				hypothetical protein
BAMDCOFK_01746	CDS	1281	rarA		COG2256	Replication-associated recombination protein A
BAMDCOFK_01747	CDS	762	lnt_1	2.3.1.269		Apolipoprotein N-acyltransferase
BAMDCOFK_01748	CDS	969	lnt_2	2.3.1.269		Apolipoprotein N-acyltransferase
BAMDCOFK_01749	CDS	1266				hypothetical protein
BAMDCOFK_01750	CDS	150				hypothetical protein
BAMDCOFK_01751	CDS	660				hypothetical protein
BAMDCOFK_01752	CDS	1233	ftsY_2			Signal recognition particle receptor FtsY
BAMDCOFK_01753	CDS	1254	umuC		COG0389	Protein UmuC
BAMDCOFK_01754	CDS	414	umuD	3.4.21.-	COG1974	Protein UmuD
BAMDCOFK_01755	CDS	1152	ribB	4.1.99.12		3,4-dihydroxy-2-butanone 4-phosphate synthase
BAMDCOFK_01756	CDS	735				hypothetical protein
BAMDCOFK_01757	CDS	489				hypothetical protein
BAMDCOFK_01758	CDS	522	fliW		COG1699	Flagellar assembly factor FliW
BAMDCOFK_01759	CDS	348				hypothetical protein
BAMDCOFK_01760	CDS	1194	mdtA_2			Multidrug resistance protein MdtA
BAMDCOFK_01761	CDS	3123	mdtB_2			Multidrug resistance protein MdtB
BAMDCOFK_01762	CDS	3069	mdtC		COG0841	Multidrug resistance protein MdtC
BAMDCOFK_01763	CDS	1410	ttgC		COG1538	putative efflux pump outer membrane protein TtgC
BAMDCOFK_01764	CDS	1008				hypothetical protein
BAMDCOFK_01765	CDS	915	adk_1	2.7.4.3		Adenylate kinase
BAMDCOFK_01766	CDS	942	dapA	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
BAMDCOFK_01767	tRNA	77				tRNA-Met(cat)
BAMDCOFK_01768	CDS	489	gpx1	1.11.1.22		Hydroperoxy fatty acid reductase gpx1
BAMDCOFK_01769	tRNA	77				tRNA-Val(gac)
BAMDCOFK_01770	CDS	723	menG	2.1.1.163		Demethylmenaquinone methyltransferase
BAMDCOFK_01771	CDS	1011	rfbB	4.2.1.46	COG1088	dTDP-glucose 4,6-dehydratase
BAMDCOFK_01772	CDS	873	rfbA	2.7.7.24	COG1209	Glucose-1-phosphate thymidylyltransferase 1
BAMDCOFK_01773	CDS	297	groS_1		COG0234	10 kDa chaperonin
BAMDCOFK_01774	CDS	1662	groL1		COG0459	60 kDa chaperonin 1
BAMDCOFK_01775	CDS	1287	adeQ		COG2252	Adenine permease AdeQ
BAMDCOFK_01776	CDS	750				hypothetical protein
BAMDCOFK_01777	CDS	672				hypothetical protein
BAMDCOFK_01778	CDS	1206				hypothetical protein
BAMDCOFK_01779	CDS	1131				hypothetical protein
BAMDCOFK_01780	CDS	1038	fda	4.1.2.13	COG0191	Fructose-bisphosphate aldolase
BAMDCOFK_01781	CDS	594				hypothetical protein
BAMDCOFK_01782	CDS	1587	rny_2	3.1.-.-	COG1418	Ribonuclease Y
BAMDCOFK_01783	CDS	822	suhB	3.1.3.25	COG0483	Inositol-1-monophosphatase
BAMDCOFK_01784	CDS	2607	mrcA		COG5009	Penicillin-binding protein 1A
BAMDCOFK_01785	CDS	909				hypothetical protein
BAMDCOFK_01786	CDS	777				hypothetical protein
BAMDCOFK_01787	CDS	810				hypothetical protein
BAMDCOFK_01788	CDS	1026	btuD_6	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
BAMDCOFK_01789	CDS	1296				hypothetical protein
BAMDCOFK_01790	CDS	1050				hypothetical protein
BAMDCOFK_01791	CDS	2559				hypothetical protein
BAMDCOFK_01792	CDS	432				hypothetical protein
BAMDCOFK_01793	CDS	894				hypothetical protein
BAMDCOFK_01794	CDS	1257				hypothetical protein
BAMDCOFK_01795	CDS	1788				hypothetical protein
BAMDCOFK_01796	CDS	747				hypothetical protein
BAMDCOFK_01797	CDS	1053	trpD2	2.4.2.18	COG0547	Anthranilate phosphoribosyltransferase 2
BAMDCOFK_01798	CDS	1086	menH_2	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
BAMDCOFK_01799	CDS	1350	glmM	5.4.2.10	COG1109	Phosphoglucosamine mutase
BAMDCOFK_01800	CDS	963				hypothetical protein
BAMDCOFK_01801	CDS	1359	dacA	2.7.7.85		Diadenylate cyclase
BAMDCOFK_01802	CDS	729	lolA		COG2834	Outer-membrane lipoprotein carrier protein
BAMDCOFK_01803	CDS	804				hypothetical protein
BAMDCOFK_01804	CDS	1167	lgt	2.5.1.145		Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
BAMDCOFK_01805	CDS	3495	mtgA_2	2.4.1.129		Biosynthetic peptidoglycan transglycosylase
BAMDCOFK_01806	CDS	2211	rcsC_3	2.7.13.3		Sensor histidine kinase RcsC
BAMDCOFK_01807	CDS	2868	rcsC_4	2.7.13.3		Sensor histidine kinase RcsC
BAMDCOFK_01808	CDS	465				hypothetical protein
BAMDCOFK_01809	CDS	582				IS630 family transposase ISGdi4
BAMDCOFK_01810	CDS	411				hypothetical protein
BAMDCOFK_01811	CDS	237				hypothetical protein
BAMDCOFK_01812	CDS	804	rcsC_5	2.7.13.3		Sensor histidine kinase RcsC
BAMDCOFK_01813	CDS	393				hypothetical protein
BAMDCOFK_01814	CDS	1215	bepA_5	3.4.-.-		Beta-barrel assembly-enhancing protease
BAMDCOFK_01815	CDS	294				hypothetical protein
BAMDCOFK_01816	CDS	1155	sasA_7	2.7.-.-		Adaptive-response sensory-kinase SasA
BAMDCOFK_01817	CDS	819	trmH	2.1.1.34		tRNA (guanosine(18)-2'-O)-methyltransferase
BAMDCOFK_01818	CDS	1767	hutU	4.2.1.49	COG2987	Urocanate hydratase
BAMDCOFK_01819	CDS	1335	hutI	3.5.2.7		Imidazolonepropionase
BAMDCOFK_01820	CDS	375				hypothetical protein
BAMDCOFK_01821	CDS	3156				hypothetical protein
BAMDCOFK_01822	CDS	852	tsaC	2.7.7.87		Threonylcarbamoyl-AMP synthase
BAMDCOFK_01823	CDS	1704	nuoC	7.1.1.-	COG0649	NADH-quinone oxidoreductase subunit C/D
BAMDCOFK_01824	CDS	534	nuoE	7.1.1.-	COG1905	NADH-quinone oxidoreductase subunit E
BAMDCOFK_01825	CDS	1293	nuoF	7.1.1.-	COG1894	NADH-quinone oxidoreductase subunit F
BAMDCOFK_01826	CDS	1470				hypothetical protein
BAMDCOFK_01827	CDS	594	ndhI	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit I, chloroplastic
BAMDCOFK_01828	CDS	1749				hypothetical protein
BAMDCOFK_01829	CDS	1029	btuD_7	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
BAMDCOFK_01830	CDS	804				hypothetical protein
BAMDCOFK_01831	CDS	777				hypothetical protein
BAMDCOFK_01832	CDS	198				hypothetical protein
BAMDCOFK_01833	CDS	426				hypothetical protein
BAMDCOFK_01834	CDS	288				hypothetical protein
BAMDCOFK_01835	CDS	1002			COG3240	Thermolabile hemolysin
BAMDCOFK_01836	CDS	1722	fadD	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
BAMDCOFK_01837	CDS	366				hypothetical protein
BAMDCOFK_01838	CDS	579				hypothetical protein
BAMDCOFK_01839	CDS	1428				hypothetical protein
BAMDCOFK_01840	CDS	909				hypothetical protein
BAMDCOFK_01841	CDS	609	azr	1.7.1.6		NADPH azoreductase
BAMDCOFK_01842	CDS	1020	yhcG_1	3.1.-.-	COG4804	Putative nuclease YhcG
BAMDCOFK_01843	CDS	489				hypothetical protein
BAMDCOFK_01844	CDS	426				hypothetical protein
BAMDCOFK_01845	CDS	1872				hypothetical protein
BAMDCOFK_01846	CDS	939				hypothetical protein
BAMDCOFK_01847	CDS	582				IS630 family transposase ISGdi4
BAMDCOFK_01848	CDS	411				hypothetical protein
BAMDCOFK_01849	CDS	537				hypothetical protein
BAMDCOFK_01850	CDS	2700				hypothetical protein
BAMDCOFK_01851	CDS	684				hypothetical protein
BAMDCOFK_01852	CDS	1122				hypothetical protein
BAMDCOFK_01853	CDS	570	yrdA		COG0663	Protein YrdA
BAMDCOFK_01854	CDS	1167				hypothetical protein
BAMDCOFK_01855	tRNA	75				tRNA-Cys(gca)
BAMDCOFK_01856	CDS	1995				hypothetical protein
BAMDCOFK_01857	CDS	1824				hypothetical protein
BAMDCOFK_01858	CDS	1794				hypothetical protein
BAMDCOFK_01859	CDS	240				hypothetical protein
BAMDCOFK_01860	CDS	744	yhcG_2	3.1.-.-	COG4804	Putative nuclease YhcG
BAMDCOFK_01861	CDS	249				hypothetical protein
BAMDCOFK_01862	CDS	981				hypothetical protein
BAMDCOFK_01863	CDS	1350	davT	2.6.1.48	COG0160	5-aminovalerate aminotransferase DavT
BAMDCOFK_01864	CDS	1287				hypothetical protein
BAMDCOFK_01865	CDS	699	rssB_4			Regulator of RpoS
BAMDCOFK_01866	CDS	2385	cheB_4	3.5.1.44		Protein-glutamate methylesterase/protein-glutamine glutaminase
BAMDCOFK_01867	CDS	2184				hypothetical protein
BAMDCOFK_01868	CDS	492	cheW_2		COG0835	Chemotaxis protein CheW
BAMDCOFK_01869	CDS	1794				hypothetical protein
BAMDCOFK_01870	CDS	3276	icmF_1		COG1703	Fused isobutyryl-CoA mutase
BAMDCOFK_01871	CDS	1536	murF	6.3.2.10	COG0770	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
BAMDCOFK_01872	CDS	285				hypothetical protein
BAMDCOFK_01873	CDS	1815	penA	3.4.16.4	COG0768	putative peptidoglycan D,D-transpeptidase PenA
BAMDCOFK_01874	tRNA	75				tRNA-Arg(ccg)
BAMDCOFK_01875	CDS	1290	hpaIIM	2.1.1.37		Modification methylase HpaII
BAMDCOFK_01876	CDS	762				hypothetical protein
BAMDCOFK_01877	CDS	321				hypothetical protein
BAMDCOFK_01878	CDS	333				hypothetical protein
BAMDCOFK_01879	CDS	150				hypothetical protein
BAMDCOFK_01880	CDS	1329				hypothetical protein
BAMDCOFK_01881	CDS	555				hypothetical protein
BAMDCOFK_01882	CDS	1755				hypothetical protein
BAMDCOFK_01883	CDS	1884				hypothetical protein
BAMDCOFK_01884	CDS	2733				hypothetical protein
BAMDCOFK_01885	CDS	1263				hypothetical protein
BAMDCOFK_01886	CDS	996				hypothetical protein
BAMDCOFK_01887	CDS	1824	pgcA	5.4.2.2		Phosphoglucomutase
BAMDCOFK_01888	CDS	777				hypothetical protein
BAMDCOFK_01889	CDS	492				hypothetical protein
BAMDCOFK_01890	CDS	942	coaD	2.7.7.3		Phosphopantetheine adenylyltransferase
BAMDCOFK_01891	CDS	1164	mmgC_4	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
BAMDCOFK_01892	CDS	777	dtd3_2	3.1.1.96		D-aminoacyl-tRNA deacylase
BAMDCOFK_01893	CDS	900				hypothetical protein
BAMDCOFK_01894	CDS	2607	hrpB	3.6.4.13	COG1643	ATP-dependent RNA helicase HrpB
BAMDCOFK_01895	CDS	915				hypothetical protein
BAMDCOFK_01896	CDS	897				hypothetical protein
BAMDCOFK_01897	CDS	2172	fadJ		COG1024	Fatty acid oxidation complex subunit alpha
BAMDCOFK_01898	CDS	1335	fadI	2.3.1.16	COG0183	3-ketoacyl-CoA thiolase FadI
BAMDCOFK_01899	CDS	714			COG0217	putative transcriptional regulatory protein
BAMDCOFK_01900	CDS	1737				hypothetical protein
BAMDCOFK_01901	CDS	459				hypothetical protein
BAMDCOFK_01902	CDS	1848	bepA_6	3.4.-.-		Beta-barrel assembly-enhancing protease
BAMDCOFK_01903	CDS	2478	mpl	6.3.2.45		UDP-N-acetylmuramate--L-alanyl-gamma-D-glutamyl-meso-2,6-diaminoheptandioate ligase
BAMDCOFK_01904	CDS	2928				hypothetical protein
BAMDCOFK_01905	CDS	531	glpE_2	2.8.1.1		Thiosulfate sulfurtransferase GlpE
BAMDCOFK_01906	CDS	1005				hypothetical protein
BAMDCOFK_01907	CDS	2301				hypothetical protein
BAMDCOFK_01908	CDS	198	rpsU		COG0828	30S ribosomal protein S21
BAMDCOFK_01909	CDS	3078	dnaG	2.7.7.-		DNA primase
BAMDCOFK_01910	CDS	2502	rpoD			RNA polymerase sigma factor RpoD
BAMDCOFK_01911	CDS	408				hypothetical protein
BAMDCOFK_01912	CDS	1245	rocD	2.6.1.13	COG4992	Ornithine aminotransferase
BAMDCOFK_01913	CDS	1830	rho	3.6.4.-		Transcription termination factor Rho
BAMDCOFK_01914	CDS	240				hypothetical protein
BAMDCOFK_01915	CDS	582				hypothetical protein
BAMDCOFK_01916	CDS	411				hypothetical protein
BAMDCOFK_01917	CDS	246				hypothetical protein
BAMDCOFK_01918	CDS	189				hypothetical protein
BAMDCOFK_01919	CDS	168				hypothetical protein
BAMDCOFK_01920	CDS	942	yicL		COG0697	putative inner membrane transporter YicL
BAMDCOFK_01921	CDS	810	oleB	4.1.1.114	COG0596	Cis-3-alkyl-4-alkyloxetan-2-one decarboxylase
BAMDCOFK_01922	CDS	399	rplQ		COG0203	50S ribosomal protein L17
BAMDCOFK_01923	CDS	990	rpoA	2.7.7.6	COG0202	DNA-directed RNA polymerase subunit alpha
BAMDCOFK_01924	CDS	387	rpsK			30S ribosomal protein S11
BAMDCOFK_01925	CDS	369	rpsM			30S ribosomal protein S13
BAMDCOFK_01926	CDS	114	rpmJ			50S ribosomal protein L36
BAMDCOFK_01927	CDS	312	infA_2			Translation initiation factor IF-1
BAMDCOFK_01928	CDS	591	adk_2	2.7.4.3	COG0563	Adenylate kinase
BAMDCOFK_01929	CDS	1317	secY		COG0201	Protein translocase subunit SecY
BAMDCOFK_01930	CDS	420	rplO		COG0200	50S ribosomal protein L15
BAMDCOFK_01931	CDS	198				hypothetical protein
BAMDCOFK_01932	CDS	483	rpsE			30S ribosomal protein S5
BAMDCOFK_01933	CDS	363	rplR		COG0256	50S ribosomal protein L18
BAMDCOFK_01934	CDS	540	rplF			50S ribosomal protein L6
BAMDCOFK_01935	CDS	399	rpsH		COG0096	30S ribosomal protein S8
BAMDCOFK_01936	CDS	186	rpsZ		COG0199	30S ribosomal protein S14 type Z
BAMDCOFK_01937	CDS	639	rplE			50S ribosomal protein L5
BAMDCOFK_01938	CDS	390	rplN		COG0093	50S ribosomal protein L14
BAMDCOFK_01939	CDS	261				hypothetical protein
BAMDCOFK_01940	CDS	195				hypothetical protein
BAMDCOFK_01941	CDS	429	rplP		COG0197	50S ribosomal protein L16
BAMDCOFK_01942	CDS	684	rpsC		COG0092	30S ribosomal protein S3
BAMDCOFK_01943	CDS	324	rplV			50S ribosomal protein L22
